股票代码,股票名称,D-0日期,D-4振幅,D-3振幅,D-2振幅,D-4~D-2区间涨幅,D-4~D-2区间振幅,D-1涨幅,D-1振幅,D-0振幅,D-0/D-2成交额百分比,T+0(低/高),T+1最高价,T+2最高价,T+3最高价,T+4最高价,T+5最高价,T+6最高价,T+7最高价
600058,,2012-12-20,6.8,5.26,7.08,11.27%,13.51%,0.97,6.11,10.93,183.96%,2%/9%(阳),15%,15%,12%,8%,8%,9%,6%
600068,,1999-05-27,4.19,7.02,5.19,1.89%,7.97%,3.05,4.91,9.01,252.58%,3%/8%(阴),5%,2%,1%,-4%,-5%,-1%,0%
600077,,1999-05-21,5.34,4.25,9.87,13.79%,14.06%,-0.3,6.36,10.19,117.92%,-5%/6%(阳),12%,16%,17%,27%,25%,25%,22%
600109,,2013-11-27,11.43,9.01,9.82,9.99%,20.91%,5.79,10.07,10.95,115.93%,-5%/-2%(阳),-3%,2%,-2%,-2%,4%,4%,3%
600129,,2000-11-06,3.24,5.03,6.61,7.74%,10.44%,-0.33,2.67,11.07,128.5%,-2%/2%(阴),2%,11%(板),19%,17%,21%,17%,23%
600155,,2024-09-30,6.57,4.98,8.93,16.58%,17.08%,7.61,8.59,5.63,153.81%,5%/9%(板),8%,1%,-7%,-9%,-9%,-9%,-9%
600157,,2025-09-18,4.83,4.7,3.92,7.59%,9.66%,-0.64,2.56,8.39,173.11%,-4%/8%(阴),-1%,4%,-2%,-4%,-4%,-5%,-4%
600171,,2008-11-19,6.12,6.25,6.67,12.59%,14.63%,-8.16,9.06,8.55,149.95%,0%/6%(阳),1%,-2%,-6%,-6%,0%,-7%,-3%
600191,,2019-02-22,4.2,5.45,7.21,8.89%,14.07%,-1.59,3.17,11.98,118.59%,10%/10%(板),21%,17%,12%,9%,17%,14%,20%
600198,,2015-03-25,6.21,10.41,8.69,10.89%,18.27%,4.93,10.03,6.77,152.54%,-9%/-1%(阴),-2%,-3%,-6%,-3%,3%,6%,6%
600265,,2006-05-17,6.56,5.75,5.87,10.86%,12.3%,-7.95,9.06,9.84,117.86%,-1%/8%(阳),6%,10%,7%,4%,2%,7%,16%
600288,,2024-09-30,7.3,6.43,6.89,10.44%,12.88%,3.24,4.4,8.41,217.58%,0%/10%(阴),3%,-2%,-5%,-7%,-6%,-8%,-7%
600328,,2016-07-04,6.24,6.7,7.71,15.36%,19.87%,-1.91,3.41,10.35,124.52%,2%/10%(阳),11%,20%,25%,29%,23%,20%,20%
